"position","rating","height","foot","pace","shooting","passing","dribbling","defending","heading"
0,94,169,0,93,87,82,97,46,67
0,92,186,1,92,90,79,93,59,89
2,92,170,1,67,72,92,85,68,53
2,91,170,1,78,72,90,91,65,55
0,90,177,1,83,88,79,84,71,81
2,90,181,0,93,85,81,93,53,60
1,89,189,1,67,44,58,52,89,91
0,88,175,1,85,89,73,86,57,73
0,88,172,1,84,87,75,83,69,74
0,88,195,1,79,89,78,87,65,82
0,88,180,1,93,83,68,85,58,79
1,88,192,1,66,52,74,65,86,81
2,88,170,1,79,80,88,84,63,49
2,88,170,1,91,78,81,93,50,54
2,88,175,1,71,80,89,83,69,65
2,88,175,1,79,76,86,86,66,62
1,87,170,1,83,59,82,82,77,67
1,87,183,1,83,68,74,68,86,86
1,87,192,1,69,45,65,59,86,79
2,87,183,1,63,83,86,82,78,68
2,87,183,1,76,87,88,77,78,76
2,87,171,0,78,80,80,87,51,61
2,87,176,0,67,84,86,83,57,59
2,87,184,1,67,88,84,80,75,71
0,86,170,1,86,85,81,87,53,60
0,86,189,1,79,79,64,75,60,82
0,86,175,1,88,81,71,92,52,76
0,86,176,1,76,82,70,81,60,88
0,86,184,1,84,83,64,76,68,86
0,86,168,1,91,76,76,89,59,66
0,86,189,1,74,86,68,80,65,87
0,86,183,1,86,84,66,83,55,79
0,86,188,0,79,89,79,84,57,66
1,86,178,1,59,50,65,56,88,84
1,86,187,1,61,47,57,49,87,85
1,86,171,1,93,75,84,83,80,76
2,86,174,1,68,61,72,70,84,68
2,86,177,1,84,78,82,88,55,62
2,86,183,0,92,79,82,85,75,70
2,86,181,0,78,74,86,87,49,55
2,86,183,1,61,78,86,69,80,68
0,85,176,0,88,79,78,87,47,52
0,85,175,1,87,80,79,87,51,51
0,85,175,1,93,77,76,87,47,48
0,85,173,1,92,76,72,90,59,56
0,85,173,0,83,83,75,84,51,63
0,85,184,1,80,82,71,83,53,74
0,85,181,1,80,83,73,85,64,69
0,85,170,0,85,76,78,87,48,67
0,85,179,1,87,82,67,85,53,80
0,85,170,1,90,78,76,90,53,62
0,85,180,0,89,85,79,86,68,70
0,85,169,1,86,76,78,84,53,62
1,85,188,1,76,61,61,66,85,83
1,85,187,1,54,36,58,57,83,78
1,85,188,1,75,48,62,60,84,83
1,85,184,1,87,76,82,80,84,73
1,85,183,1,82,62,74,77,83,90
1,85,183,0,65,49,58,42,87,83
1,85,176,0,83,63,80,79,79,72
1,85,173,0,81,54,77,78,82,80
2,85,177,0,75,72,80,76,79,78
2,85,186,1,77,83,80,87,48,50
2,85,179,0,60,73,83,82,70,54
2,85,187,1,77,74,78,79,86,81
0,84,172,1,88,78,73,91,44,61
0,84,174,1,78,82,74,80,67,77
0,84,184,1,87,80,65,85,52,72
0,84,179,1,91,76,74,87,61,69
0,84,193,1,76,82,66,81,58,72
